TickerSymbol,Date,Price_1T,Price_2T
ABT,2023-01-09,110.980001449585,109.125
ABT,2023-01-16,112.804000854492,110.980001449585
ABT,2023-01-23,112.380001068115,112.804000854492
ABT,2023-01-30,111.711999511719,112.380001068115
ABT,2023-02-06,111.244000244141,111.711999511719
ABT,2023-02-13,109.833999633789,111.244000244141
ABT,2023-02-20,107.175999450684,109.833999633789
ABT,2023-02-27,102.337501525879,107.175999450684
ABT,2023-03-06,101.879998779297,102.337501525879
ABT,2023-03-13,99.3880004882812,101.879998779297
ABT,2023-03-20,98.1160018920898,99.3880004882812
ABT,2023-03-27,97.6300018310547,98.1160018920898
ABT,2023-04-03,98.9060012817383,97.6300018310547
ABT,2023-04-10,103.382499694824,98.9060012817383
ABT,2023-04-17,103.423999023438,103.382499694824
ABT,2023-04-24,108.594000244141,103.423999023438
ABT,2023-05-01,109.818000793457,108.594000244141
ABT,2023-05-08,111.298001098633,109.818000793457
ABT,2023-05-15,110.476000976563,111.298001098633
ABT,2023-05-22,109.089999389648,110.476000976563
ABT,2023-05-29,104.608000183105,109.089999389648
ABT,2023-06-05,102.682498931885,104.608000183105
ABT,2023-06-12,102.102001953125,102.682498931885
ABT,2023-06-19,103.545999145508,102.102001953125
ABT,2023-06-26,107.3125,103.545999145508
ABT,2023-07-03,108.118000793457,107.3125
ABT,2023-07-10,107.034999847412,108.118000793457
ABT,2023-07-17,107.407998657227,107.034999847412
ABT,2023-07-24,109.469999694824,107.407998657227
ABT,2023-07-31,113.402001953125,109.469999694824
ABT,2023-08-07,109.134001159668,113.402001953125
ABT,2023-08-14,105.875999450684,109.134001159668
ABT,2023-08-21,104.841999816895,105.875999450684
ABT,2023-08-28,104.42200012207,104.841999816895
ABT,2023-09-04,103.364001464844,104.42200012207
ABT,2023-09-11,100.959999084473,103.364001464844
ABT,2023-09-18,102.386000061035,100.959999084473
ABT,2023-09-25,99.8059997558594,102.386000061035
ABT,2023-10-02,96.8400009155273,99.8059997558594
ABT,2023-10-09,96.05,96.8400009155273
ABT,2023-10-16,93.6040008544922,96.05
ABT,2023-10-23,94.4199996948242,93.6040008544922
ABT,2023-10-30,94.1979995727539,94.4199996948242
ABT,2023-11-06,94.8720001220703,94.1979995727539
ABT,2023-11-13,94.4120010375977,94.8720001220703
ABT,2023-11-20,98.1360015869141,94.4120010375977
ABT,2023-11-27,102.170000076294,98.1360015869141
ABT,2023-12-04,103.513998413086,102.170000076294
ABT,2023-12-11,104.608001708984,103.513998413086
ABT,2023-12-18,107.208000183105,104.608001708984
ABT,2023-12-25,108.27799987793,107.208000183105
ABT,2024-01-01,109.872501373291,108.27799987793
ABT,2024-01-08,110.28750038147,109.872501373291
ABT,2024-01-15,113.390000915527,110.28750038147
ABT,2024-01-22,114.10000038147,113.390000915527
ABT,2024-01-29,112.683999633789,114.10000038147
ABT,2024-02-05,113.336000061035,112.683999633789
ABT,2024-02-12,112.639999389648,113.336000061035
ABT,2024-02-19,112.715998840332,112.639999389648
ABT,2024-02-26,118.247499465942,112.715998840332
ABT,2024-03-04,119.080001831055,118.247499465942
ABT,2024-03-11,119.947999572754,119.080001831055
ABT,2024-03-18,119.090000915527,119.947999572754
ABT,2024-03-25,111.836001586914,119.090000915527
ABT,2024-04-01,112.162502288818,111.836001586914
ABT,2024-04-08,111.33999786377,112.162502288818
ABT,2024-04-15,110.937998962402,111.33999786377
ANF,2010-01-04,109.049999237061,110.937998962402
ANF,2010-01-11,34.6039993286133,109.049999237061
ANF,2010-01-18,32.6600006103516,34.6039993286133
ANF,2010-01-25,31.1374998092651,32.6600006103516
ANF,2010-02-01,31.0860000610352,31.1374998092651
ANF,2010-02-08,32.607999420166,31.0860000610352
ANF,2010-02-15,32.7959999084473,32.607999420166
ANF,2010-02-22,35.4674997329712,32.7959999084473
ANF,2010-03-01,35.8279998779297,35.4674997329712
ANF,2010-03-08,38.6900001525879,35.8279998779297
ANF,2010-03-15,43.3059997558594,38.6900001525879
ANF,2010-03-22,44.0799995422363,43.3059997558594
ANF,2010-03-29,44.8300003051758,44.0799995422363
ANF,2010-04-05,45.5225009918213,44.8300003051758
ANF,2010-04-12,48.0720008850098,45.5225009918213
ANF,2010-04-19,49.2619995117187,48.0720008850098
ANF,2010-04-26,47.992000579834,49.2619995117187
ANF,2010-05-03,46.8259994506836,47.992000579834
